Macro,Trades,Wins,Losses,Win Rate (%),Total Points
New-York AM Macro (08:50 - 09:10),13,0,13,0.0,-260
New-York AM Macro (09:50 - 10:10),19,5,14,26.32,20
New-York AM Macro (10:50 - 11:10),12,4,8,33.33,80
New York Lunch Macro (11:50 - 12:10),14,4,10,28.57,40
New York Last Hour Macro (15:15 - 15:45),0,0,0,0.0,0
Silver Bullet AM (10:00 - 11:00),37,17,20,45.95,620
Silver Bullet PM (13:00 - 14:00),32,14,18,43.75,480
Outside Macro: Pre-AM SB (09:10 - 09:50),47,13,34,27.66,100
Outside Macro: Pre-Lunch (11:10 - 11:50),31,6,25,19.35,-140
Outside Macro: Lunch Gap (12:10 - 13:00),20,7,13,35.0,160
Outside Macro: Post-PM SB (14:00 - 15:15),29,5,24,17.24,-180
Outside Macro: After Hours (15:45 - 17:00),0,0,0,0.0,0
Outside Macro: Unclassified,5,2,3,40.0,60
